card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
HDFC Bharat Credit Card,HDFC Bank,,,[],₹500 + GST,₹500 + GST,"waived on annual spends of ₹50,000",,,,,,,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,,"[""Generous cashback of up to 5% on fuel purchases makes it ideal for regular drivers."", """", """", ""Annual fee waiver provides cost savings for frequent users."", """", """", ""Additional rewards on bill payments and mobile recharges enhance its value.""]","[""Limited rewards outside of specific categories may not appeal to all users."", """", """", ""Higher forex markup fee may deter international usage.""]",,rewardpoints.club,https://rewardpoints.club/library
HDFC Diners Club Black Metal Credit Card,HDFC Bank,,,[],₹10000 + GST,₹10000 + GST,waived on annual spends of ₹8 lakh,,,,"Complimentary annual memberships to Club Marriott, Amazon Prime, Swiggy One, and Times Prime","Complimentary annual memberships to Club Marriott, Amazon Prime, Swiggy One, and Times Prime",,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,"High-spenders seeking premium travel, lifestyle, and dining benefits","[""Attractive rewards structure with high returns on partner brands."", ""Welcome bonus provides immediate value with complimentary memberships."", ""Unlimited lounge access enhances travel comfort significantly.""]","[""High annual fee may not be justified for low spenders."", ""Limited rewards outside specific categories may not appeal to all users.""]",,rewardpoints.club,https://rewardpoints.club/library
HDFC IndianOil Credit Card,HDFC Bank,,,[],₹500 + GST,₹500 + GST,"waived if annual spends exceed ₹50,000",,,,,,,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,,"[""Generous cashback of up to 5% on fuel purchases makes it ideal for regular drivers."", """", """", ""Annual fee waiver provides cost savings for frequent users."", """", """", ""Additional rewards on grocery and utility payments enhance its value.""]","[""Limited rewards outside of fuel-related spending may not appeal to all users."", """", """", ""Higher forex markup fee may deter international users.""]",,rewardpoints.club,https://rewardpoints.club/library
HDFC Business Moneyback Credit Card,HDFC Bank,,,[],₹500 + GST,₹500 + GST,"Waived on annual spends of ₹50,001",,,,,,,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,,"[""High cashback rate of 5% on key business expenses like dining and utility bills."", ""Affordable annual fee with easy waiver conditions for spends exceeding ₹50,000 annually."", ""Milestone benefits provide additional value for high spenders.""]","[""Limited rewards outside specific categories like dining and utility bills."", ""No lounge access or premium travel perks.""]",,rewardpoints.club,https://rewardpoints.club/library
HDFC Moneyback Plus Credit Card,HDFC Bank,,,[],₹500 + GST,₹500 + GST,"Waived on annual spends of ₹50,000",,,,500 CashPoints upon payment of the joining fee,500 CashPoints upon payment of the joining fee,,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,,"[""High rewards rate on popular online shopping platforms makes it ideal for regular users."", """", """", ""Welcome bonus provides immediate value upon card activation."", """", """", ""Dining discounts enhance its appeal for food enthusiasts.""]","[""Limited rewards outside specific categories may not appeal to all users."", """", """", ""Higher forex markup fee could deter international usage.""]",,rewardpoints.club,https://rewardpoints.club/library
HDFC Shoppers Stop Regular Credit Card,HDFC Bank,,,[],₹299 + GST,₹299 + GST,Waived on annual spends of ₹1.5 lakh,,,,₹500 worth of Shoppers Stop vouchers upon first transaction,₹500 worth of Shoppers Stop vouchers upon first transaction,,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,,"[""Up to 6% value back on Shoppers Stop purchases makes it ideal for frequent shoppers."", """", ""Low annual fees.""]","[""Limited cashback categories outside of Shoppers Stop purchases."", """", """", ""Cashback is locked to reward points usable at Shoppers Stop."", """", """", ""No travel or international benefits.""]",,rewardpoints.club,https://rewardpoints.club/library
HSBC VISA Platinum Card Credit Card,HSBC,,,[],₹0 (lifetime free),₹0 (lifetime free),NA,,,,"₹100 Amazon eGift Voucher (online application) + ₹500 cashback on spending ₹5,000 within 30 days
Additional one-night Taj Palace voucher on renewal","₹100 Amazon eGift Voucher (online application) + ₹500 cashback on spending ₹5,000 within 30 days
Additional one-night Taj Palace voucher on renewal",,"{""age"": """", ""income"": """", ""location"": """", ""employment"": [], ""income_thresholds"": {}}",,,,Individuals seeking a lifetime free Credit Card with basic rewards and benefits,"[""Lifetime free card with no joining or annual fees\r"", ""\r"", ""\r"", ""Reward acceleration after ₹4 lakh in annual spend\r"", ""\r"", ""\r"", ""Simple and transparent welcome bonus\r"", ""\r"", ""\r"", ""Redemption flexibility via gift vouchers and air miles""]","[""No travel perks or lounge access\r"", ""\r"", ""\r"", ""Basic reward rate not suited for high spenders""]",,rewardpoints.club,https://rewardpoints.club/library
American Express Gold Credit Card,American Express,,,[],"₹1,000 + GST","₹4,500 + GST",NA,,,,"4,000 MR Points on ₹10,000 spend in the first 90 days","4,000 MR Points on ₹10,000 spend in the first 90 days",,"{""age"": ""18+, Minimum"", ""income"": ""₹6L p.a,"", ""location"": ""available in select cities (primarily tier 1)"", ""employment"": [], ""income_thresholds"": {}}",,,,Users who want a monthly milestone-based rewards program and a card with no preset spending limit,"[""No preset spending limit gives flexibility"", ""Monthly milestone bonuses encourage consistent spending"", ""Rewards apply to fuel and utility spends – rare in premium cards""]","[""No lounge access or travel benefits"", ""₹4,500 annual fee with no waiver option"", ""Lower base reward rate if milestones are missed""]",,rewardpoints.club,https://rewardpoints.club/library
Axis Atlas Credit Card (Copy),Axis Bank,Axis,,"[""Travel"", ""Online Shopping"", ""Groceries"", ""Premium""]","₹5,000 + GST","₹5,000 + GST",,Up to 5 EDGE Miles per ₹100 spent on travel transactions; 2 EDGE Miles per ₹100 spent on other purchases,,"Redeem EDGE Miles for air miles across partner airlines at 1:2
Use miles for hotel bookings via the Travel Edge portal or transfer them to loyalty programs at 1:2","Up to 2,500 EDGE Miles upon activation","Up to 2,500 EDGE Miles upon activation",Domestic and international lounge access based on tier level - 8/12/18 annually,"{""age"": ""18 to 70 years"", ""income"": ""₹12 lakh p.a. (salaried) or ₹15 lakh p.a. (self-employed)"", ""location"": """", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": 1200000, ""self_employed_annual_income_threshold"": 1500000, ""business_annual_income_threshold"": null}}",,3.50%,"1% waiver on transactions ₹400-₹5,000 (Max ₹400 per statement cycle)","Frequent travelers seeking premium rewards, air miles, and tier-based benefits","[""High reward rate on travel spends with valuable redemption options like air miles and hotel bookings."", ""Tier-based benefits provide flexibility and enhanced perks as spending increases."", ""Domestic and international lounge access enhances travel comfort significantly.""]","[""High annual fee may not be justified for low spenders unable to reach Gold or Platinum tiers."", ""Limited rewards outside travel-related categories.""]",4.8,rewardpoints.club,https://rewardpoints.club/library
Axis Bank Horizon Credit Card,Axis Bank,Axis Bank,,"[""Travel"", ""Lounge Access"", ""Online Shopping""]","₹3,000 + GST","₹3,000 + GST",,2 miles on per 100 rs spend,,"Redemption Value: 1 EDGE Mile = ₹1 for Travel EDGE bookings; 1:1 for partner transfers (capped 1.5 lakh EDGE Miles/year total)
Redemption Options: Axis Bank Travel EDGE portal (flights/hotels), transfer to 15+ airline/hotel partners.
","5,000 EDGE Miles Points worth ₹1,000 on first transaction within 30 days of issuance 

","5,000 EDGE Miles Points worth ₹1,000 on first transaction within 30 days of issuance 

","Up to 8 domestic lounge visits per calendar quarter (Visa: 8/quarter, Mastercard: 6/quarter)
2 international lounge visits per quarter (via Priority Pass)","{""age"": ""18 to 70 years"", ""income"": ""≥ ₹6 lakh p.a."", ""location"": """", ""employment"": [""Salaried"", ""Self Employed""], ""income_thresholds"": {""salaried_annual_income_threshold"": 600000, ""self_employed_annual_income_threshold"": 600000, ""business_annual_income_threshold"": 600000}}",,3.50%,,"A flexible mid-premium travel card for moderate flyers offering 5 EDGE Miles/₹100 on travel, solid lounge access, and airline-agnostic redemptions at a reasonable fixed fee.

","[""5 EDGE Miles per ₹100 on Axis Travel EDGE portal/direct airlines (5% value back at 1:1 redemption), 2 EDGE Miles per ₹100 on other spends, Up to 32 domestic + 8 international lounge visits/year, Welcome 5,000 EDGE Miles""]","[""Fixed ₹3,000 annual fee (no waiver), Standard 3.5% forex markup (no low-forex benefit)""]",4.5,rewardpoints.club,https://rewardpoints.club/library
