card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
IndusInd Bank Jio-bp Mobility+ Credit Card,IndusInd Bank,Best IndusInd Bank,RuPay,"[""Best Fuel Credit Cards in India"", ""Best IndusInd Bank"", ""Best IndusInd Bank Credit Cards""]",₹499 + GST,Nil,"Joining Fee Waiver on Spends of ₹10,000 or More in the First 30 Days",,Reward Points,1 Smile = ₹0.25,,"The IndusInd Bank Jio-bp Mobility+ Credit Card comes with monthly and annual milestone benefits, making it a great option for cardholders who have high spending needs and want extra value on their regular spends.","{""domestic"": ""N/A"", ""international"": ""N/A""}",,Monthly – 3.95% | Annual – 47.40%,3.50%,1% Waiver Only at Jio-bp Stations | 2.5% (Minimum ₹300) | N/A,"This is a fuel-dedicated credit card. This card carries a joining charge of ₹499 + GST which can be waived by spending ₹10,000 in the first 30 days of card issuance. 1% Fuel surcharge waiver on Jio-bp spends.",[],"["""", """"]",,cardinsider.com,https://cardinsider.com/indusind-bank/jio-bp-mobility-plus-credit-card/
KVB Corporate Credit Card,Karur Vysya Bank,Karur Vysya Bank,Visa,"[""Karur Vysya Bank"", ""Karur Vysya Bank Credit Cards""]",Nil,Nil,NA,,,You can redeem your reward points by calling the customer care number at 1800 419 6500/022-404 260 31. The customers can log in to your internet banking or mobile banking,,,"{""domestic"": ""2 complimentary domestic lounge access"", ""international"": ""NA""}",,2.95% per month ( 35.40 p.a.),NA,2% fuel surcharge waiver on fuel transactions per month 300 for transactions of Rs 400 to Rs 4000. | 2% on the withdrawal amount or Rs 100 whichever is higher | Nil,No Joining Fee Charged 2 Complimentary Lounge Access in India 2 Reward Points on every Rs 100 spent 1% fuel surcharge waiver on transactions per month 300 for transactions of Rs 400 to Rs 4000.,[],[],,cardinsider.com,https://cardinsider.com/karur-vysya-bank/kvb-corporate-credit-card/
KVB Honour Credit Card,Karur Vysya Bank,Karur Vysya Bank,,"[""Karur Vysya Bank"", ""Karur Vysya Bank Credit Cards""]",Nil,"Rs. 1,299 + GST",Waiver of annual fee on spending Rs. 5 lakhs in the previous year.,,,NA,,"No, you do not get any milestone benefits on the KVB Honour Credit Card.","{""domestic"": ""4 complimentary domestic lounge access"", ""international"": ""NA""}",,3.25% p.m. (39% p. a.),3.50% on the conversion amount,"Avail a 1% fuel surcharge waiver on fuel transactions between Rs. 500 – Rs. 4,000. The maximum waiver benefit is capped at Rs. 200 for one billing cycle. | 2% or a minimum of Rs. 100. | Rs. 99","KVB Honour Credit Card comes with zero fees. Get 700 bonus points on card activation 4x points on domestic and international travels, hotels, and air tickets. 3 reward points for every Rs. 150 spent on this card. 2x reward points on restaurants, medical, books, insurance, rail tickets, movie tickets, and car rental 4 complimentary lounge access within India Waiver of annual fee on spending Rs. 5 lakhs in the previous year.",[],[],,cardinsider.com,https://cardinsider.com/karur-vysya-bank/kvb-honour-credit-card/
KVB Platinum Credit Card,Karur Vysya Bank,Karur Vysya Bank,,"[""Karur Vysya Bank"", ""Karur Vysya Bank Credit Cards""]",Nil,Rs. 599 + GST,Waiver of annual fee on spends of Rs. 1 lakh,,,Rs 100 per redemption request,You get 500 bonus reward points with the KVB Platinum credit card as a sign-up bonus on payment of membership fees.,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.25 % per month (39% p.a),3.5% on the conversion amount,1% fuel surcharge waiver on transactions between Rs 500 and Rs 4000 at petrol stations in India. Maximum discount of Rs 200 per billing cycle. | 2% on the withdrawal amount subject to minimum charge of Rs 100 | Rs 99,"500 bonus reward points as sign-up bonus 2 reward points on every Rs 150 spent on domestic travels, international travel, and air tickets 1.5X reward points on every Rs 150 spent on restaurants, medical bills, insurance, rail tickets, movie ticket booking, and car rentals No joining fee charges 1% fuel surcharge waiver at petrol stations in India Convert your purchases into EMI",[],[],,cardinsider.com,https://cardinsider.com/karur-vysya-bank/kvb-platinum-credit-card/
6E Rewards – Indigo Kotak Bank Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Rs. 700 + GST,Rs. 700 + GST,N/A,,Reward Points,The earned 6E Rewards can be redeemed against Indigo flight bookings at a value of 1 6E Reward = Re. 1.,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.5% per month,3.5% on all foreign currency spends,"N/A | 2.5% on Advance Amount, Subject to a Minimum of ₹500 | Rs. 99 on every redemption request","Get complimentary flight tickets, a 6E add-on, and several other exciting welcome benefits. Up to 3 6E Rewards on your spends. Reward points are easily redeemable against Indigo Airlines.",[],[],,cardinsider.com,https://cardinsider.com/kotak/6e-rewards-indigo-kotak-credit-card/
6E Rewards XL – Indigo Kotak Bank Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]","₹1,500 + GST","₹1,500 + GST",N/A,,,The earned 6E Rewards can be redeemed against Indigo bookings at a value of 1 6E Reward = Re. 1.,,,"{""domestic"": ""8 complimentary domestic lounge access every year."", ""international"": ""N/A""}",,3.50% per month (42% per annum),3.5% on all foreign currency spends.,"N/A | 2.5% on Advance Amount, Subject to a Minimum of ₹500 | Rs. 99 on every redemption request","Get welcome benefits worth more than Rs. 10,000. Earn 6% 6E Rewards on your spends on goindigo.in. 3% 6E rewards on selected categories and 2% 6E rewards on all other spends. 6E Rewards can be redeemed against bookings on Indigo. Up to 20% 6E Rewards on feature partners of Indigo. Discounted convenience fee on Indigo flights. Complimentary domestic lounge access.",[],[],,cardinsider.com,https://cardinsider.com/kotak/6e-rewards-xl-indigo-kotak-credit-card/
IndianOil Kotak Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Rs. 449 + GST,Rs. 449 + GST,"Annual fee is waived on spends of Rs. 50,000 or above",,Reward Points,"Reward Points can be redeemed as cashback or to buy merchandise, products, and vouchers on kotakrewards.com. You can redeem your Reward Points for IndianOil XTRAREWARDS as well.",,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",You have to pass certain eligibility requirements in order to get approved for the credit card– Individuals must be a resident of India. Individuals must be between 18 and 65 years of age. Individuals must have a stable source of income and other necessary documents.,3.75% Per Month or 45% Per Annum,3.50%,"1% Waiver on Fuel Spends Between ₹100 and ₹5,000 Only at IndianOil Pumps (Maximum ₹100 Each Statement Cycle) | 2.5% of the Cash Withdrawn (Minimum Charge of ₹500) | Nil","Welcome Benefit of 1000 Reward Points on spending Rs. 500 inside 30 days 24 Reward Points on spending Rs. 150 on fuel at IndianOil outlets 12 Reward Points on spending Rs. 150 on dining and grocery 3 Reward Points on spending Rs. 150 on everything else Annual fee waiver on spends of Rs. 50,000 or more in the previous year 1% fuel surcharge waiver with a maximum of Rs. 100 per month Insurance cover of Rs. 2 Lakhs for personal accident Rupay Contactless payment up to transactions of Rs. 5000",[],[],,cardinsider.com,https://cardinsider.com/kotak/indianoil-kotak-credit-card/
IndiGo Kotak Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Best Co-Branded Airline Credit Cards"", ""Best Credit Cards for IndiGo BluChips"", ""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]","₹1,500 + GST","₹1,500 + GST",N/A,,Air Miles,Redeem for Flights & Select IndiGo Services,,"To reward high-spending users, the card offers milestone benefits, allowing them to earn vouchers of up to 7,500 IndiGo BluChips each year. Here is how: Earn a voucher worth 2,500 IndiGo BluChips on spending ₹1,25,000 within the anniversary year Get another voucher worth 2,500 IndiGo BluChips on spending ₹2,50,000 within the anniversary year Receive your 3rd voucher worth 2,500 IndiGo BluChips on spending ₹6,00,000 within the anniversary year","{""domestic"": ""N/A"", ""international"": ""N/A""}",,3.75% Monthly (45% Annually),3.50%,N/A | 2.5% Subject to a Minimum of ₹500 | N/A,"Earn IndiGo BluChips on all spends, with accelerated rewards on IndiGo flight bookings and milestone spend benefits. BluChips can be earned on everyday spends and redeemed for flights, seat selection, and other IndiGo services, with points validity extending based on activity.","[""Offers accelerated rewards for IndiGo flight bookings."", ""Accelerated reward earning for dining and entertainment categories""]","[""The card does not offer any complimentary airport lounge access."", ""There are no travel insurance perks."", ""Users cannot get a spend-based annual fee waiver.""]",,cardinsider.com,https://cardinsider.com/kotak/indigo-kotak-credit-card/
IndiGo Kotak XL Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,"Visa, RuPay","[""Best Co-Branded Airline Credit Cards"", ""Best Credit Cards for IndiGo BluChips"", ""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]","₹3,000 + GST","₹3,000 + GST",N/A,,Air Miles,BluChips Can Be Redeemed for Flight Bookings and More with IndiGo,,"The IndiGo Kotak XL Credit Card offers BluChips vouchers on achieving spend-based milestones. First Voucher Worth 4,000 IndiGo BluChips on Spending ₹1.5 Lakh Second Voucher Worth 4,000 IndiGo BluChips on Spending ₹4 Lakh Third Voucher Worth 4,000 IndiGo BluChips on Spending ₹7.5 Lakh Fourth Voucher Worth 4,000 IndiGo BluChips on Spending ₹12 Lakh This card also provides renewal benefits, including a 4,000 BluChip voucher and a 6E Eats voucher.","{""domestic"": ""2 Free Visits Each Quarter"", ""international"": ""N/A""}",,3.75% Monthly/45% Annually,3.50%,N/A | 2.5% Subject to a Minimum of ₹500 | N/A,"This is a co-branded offering by Kotak Mahindra Bank and IndiGo. Frequent flyers can earn accelerated BluChips for spending made on IndiGo flight bookings. This card even offers free domestic airport lounge access for the comfort of travellers. BluChips earned with the IndiGo Kotak XL Credit Card do not expire. Receive a renewal benefit voucher of 4,000 IndiGo BluChips and a 6E Eats voucher upon payment of the renewal charges each year.","[""The BluChips earned with this credit card will not expire, offering peace of mind to the cardholder who can easily accumulate them over time.""]","[""For a co-branded airline credit card, the reward rate offered by this card is pretty basic.""]",,cardinsider.com,https://cardinsider.com/kotak/indigo-kotak-xl-credit-card/
Kotak 811 Credit Card,Kotak Mahindra Bank,Kotak Mahindra Bank,,"[""Kotak Mahindra Bank"", ""Kotak Mahindra Bank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,"Annual fee waived off on spending a minimum of Rs. 50,000 in the preceding year.",,Reward Points,"Reward Points redeemable for mobile recharges, shopping vouchers, gift cards, movie and travel vouchers at Kotak Rewards portal.","You get 500 Bonus Reward Points on spending a minimum of Rs. 5,000 within the first 45 days of card issuance.","If you spend a minimum of Rs. 75,000 with the card in a given membership year, you can choose from any of the following two milestone benefits- 4 complimentary PVR tickets. A cashback of Rs. 750.","{""domestic"": ""N/A"", ""international"": ""N/A""}","To be eligible for Kotak 811 Credit Card, an applicant must satisfy the following eligibility criteria- the primary cardholder must be in the age bracket of 18 years and 65 years, and the add-on cardholder must be above 18 years of age. the primary and add-on cardholder(s) must be resident(s) of India.",3.75% Per Month (45% Annually),3.5% of the transaction amount,"1% fuel surcharge waived off on transactions between Rs. 500 and Rs. 3,000 (max waiver capped at Rs. 3,500 per annum). | 2.5% of the Cash Withdrawn (Minimum Charge of ₹500) | Nil","500 Bonus Reward Points as a welcome benefit on spending Rs. 5,000 with 45 days of card issuance. 2 Reward Points for every Rs. 100 spent online and 1 Reward Point for every Rs. 100 spent offline. 4 PVR tickets of a cashback of Rs. 750 on spending a minimum of Rs. 75,000 in a year. 1.8% surcharge waived off on online transactions at IRCTC and 2.5% surcharge waived off on rail ticket bookings at counters. 1% fuel surcharge waived off on transactions between Rs. 500 and Rs. 3,000 (max waiver capped at Rs. 3,500/year). Lost card insurance cover worth Rs. 50,000 against fraudulent usage of the card applicable 7 days pre-reporting the loss of card to the bank. Annual fee of Rs. 500 waived off on spending a minimum of Rs. 50,000 in the preceding anniversary year.",[],[],,cardinsider.com,https://cardinsider.com/kotak/kotak-811-credit-card/
