card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
Canara Bank Mastercard World Credit Card,Canara Bank,Canara Bank,Mastercard,"[""Canara Bank"", ""Canara Bank Credit Cards""]",Nil,Nil,Nil,,Reward Points,1 RP = ₹0.25,,,"{""domestic"": ""3 complimentary lounge access every quarter"", ""international"": ""2 complimentary lounge access every year""}",,2.5% monthly or 30% annually,3%,"1% waiver on fuel transaction | 3% of the advance, minimum ₹30 per ₹1,000 | Nil",The interest fee of this card is low. Insurance benefits are provided to cardholders. Domestic and international airport lounge access is offered to users.,"[""This is a lifetime-free credit card. This card includes add-on guests on both domestic and international airport lounges."", ""This is a lifetime-free credit card."", ""This card includes add-on guests on both domestic and international airport lounges.""]","[""This card comes with a high Forex markup fee of 3%. No extra benefits on dining, entertainment, or golf are included with this card."", ""This card comes with a high Forex markup fee of 3%."", ""No extra benefits on dining, entertainment, or golf are included with this card.""]",,cardinsider.com,https://cardinsider.com/canara-bank/canara-bank-mastercard-world-credit-card/
Canara Bank RuPay Classic Credit Card,Canara Bank,Canara Bank,RuPay,"[""Canara Bank"", ""Canara Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,Redeem your Reward Points for buying products or paying for a service. 1 RP = ₹0.25,,,"{""domestic"": ""Available"", ""international"": ""N/A""}","You must be 21 years or older to apply. You should have an independent income of at least ₹1 lakh gross per year. If you are a staff member, your minimum net take-home salary should be at least ₹4,000 per month. You need to have a stable source of monthly income, whether you are salaried or self-employed. A decent credit history is required to qualify for the card. You must be a resident of India. You will need to provide the necessary documents to support your application, such as proof of identity and proof of income.",2.5% monthly or 30% annually,3%,"1% waiver on fuel transaction | 3% of the advance, minimum ₹30 per ₹1,000 | Nil","This is a lifetime-free card with no joining fee. This card provides insurance coverage, including baggage insurance, air accident cover, and much more.","[""Users get up to 50 days of interest-free credit period.""]","[""This card only offers basic benefits and does not provide discounts on dining, entertainment, or any welcome perks.""]",,cardinsider.com,https://cardinsider.com/canara-bank/canara-bank-rupay-classic-credit-card/
Canara Bank RuPay Platinum Credit Card,Canara Bank,Canara Bank,RuPay,"[""Canara Bank"", ""Canara Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,Redeem your reward points for buying products or paying for a service. 1 RP = Rs. 0.25,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",,2.5% p.m.,3.5 % + taxes,1% fuel surcharge waiver | 3% of the advance amount and is subject to a minimum of Rs. 30 per Rs. 1000. | Nil,The Canara Bank RuPay Platinum Credit Card comes with no joining and an annual fee. 2 reward points on every Rs. 100 spent on this card. Covers comprehensive travel insurance up to Rs. 8 lakhs.,[],[],,cardinsider.com,https://cardinsider.com/canara-bank/canara-bank-rupay-platinum-credit-card/
Canara Bank RuPay Select Credit Card,Canara Bank,Canara Bank,RuPay,"[""Canara Bank"", ""Canara Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,The value of each RP is ₹0.25,,,"{""domestic"": ""2 complimentary lounge visits every quarter"", ""international"": ""2 complimentary lounge visits every year""}","The eligibility requirements for the Canara RuPay Select Credit Card are not disclosed clearly by the bank, but some of the basic criteria are as follows: The applicant should be 21 years old or older. The applicant should have a stable source of monthly income (salaried and self-employed people are eligible). The applicant should have a decent credit history.",2.5% monthly or 30% annually,3%,"1% waiver on fuel transaction | 3% of the advance, minimum ₹30 per ₹1,000 | Nil",This card comes with no joining or an annual fee. 2 complimentary domestic airport lounge access every quarter. 2 complimentary international airport lounge access every year. Insurance benefits worth ₹8 lakhs.,"[""The interest rate for this card is low."", ""This is a lifetime free credit card.""]","[""Does not offer any dining or entertainment benefits."", ""The Forex markup fee is relatively high.""]",,cardinsider.com,https://cardinsider.com/canara-bank/canara-bank-rupay-select-credit-card/
Canara Bank Visa Corporate Credit Card,Canara Bank,Canara Bank,Visa,"[""Canara Bank"", ""Canara Bank Credit Cards""]",₹250 + GST,₹250 + GST,N/A,,N/A,N/A,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","You must be at least 21 years old and live in India. Your business should have a minimum annual income of ₹2 lakhs. You can get a corporate credit card with at least one add-on card. The credit card limit must be between ₹50,000 and ₹2 crore. The credit limit can be a maximum of 30% of your firm’s annual income. You need to have a good credit history to qualify. You must provide documents like proof of identity and proof of income with your application.",2.50% monthly or 30% annually,3%,"A 1% waiver on fuel transactions across all fuel stations in India | 3% of the advance, minimum ₹30 per ₹1,000 | Nil",A fuel surcharge waiver is provided on fuel transactions. Seasonal offers are provided with this card.,"[""Insurance benefits are provided for cardholders.""]","[""The Forex markup fee of this card is high."", ""No Reward Points are provided on this card.""]",,cardinsider.com,https://cardinsider.com/canara-bank/canara-bank-visa-corporate-credit-card/
Canara Bank Visa Platinum Credit Card,Canara Bank,Canara Bank,Visa,"[""Canara Bank"", ""Canara Bank Credit Cards""]",Nil,Nil,N/A,,Reward Points,Redeem RP for cashback and goods; 1 RP = ₹0.25,,,"{""domestic"": ""2 complimentary lounge access every quarter"", ""international"": ""N/A""}","You must be 21 years or older to apply and must be a resident of India. You should have an independent income of at least ₹1 lakh gross per year. If you are a staff member, your minimum net take-home salary should be at least ₹4,000 per month. A decent credit history is required to qualify for the card. You will need to provide the necessary documents to support your application, such as proof of identity and proof of income.",2.50% monthly or 30% annually,3%,"1% fuel surcharge of up to ₹100 on fuel transaction | 3% of the advance, minimum ₹30 per ₹1,000 | N/A",Complimentary airport lounge access is provided twice every quarter. Fuel surcharge waiver of 1% on fuel transactions. There is no spend-based waiver with this card.,"[""This card has no joining or renewal fee and is quite affordable for middle-class people."", ""Insurance coverage is provided to users for their peace of mind.""]","[""The card offers no benefits other than airport lounge access and insurance benefits.""]",,cardinsider.com,https://cardinsider.com/canara-bank/canara-bank-visa-platinum-credit-card/
Canara Bank Visa Classic/MasterCard Standard Credit Card,Canara Bank,Canara Bank,"Visa, Mastercard, RuPay","[""Canara Bank"", ""Canara Bank Credit Cards""]",Nil,Nil,NA,,Reward Points,The earned Reward Points are redeemable against a host of options at a rate of 1 Reward Point = Re. 0.25.,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}","The eligibility criteria that need to be fulfilled in order to get approved for this credit card are as follows: The age of the applicant should be a minimum of 18 years. The applicant should have a stable source of income, i.e, the applicant should either be salaried or self-employed. The applicant should have a decent credit history.",2.5% per month or 30% per annum.,3% on all foreign transactions,"2.5% fuel surcharge waiver on all fuel transactions worth Rs. 400 or more. The maximum waiver is capped at Rs. 100 per month. | 3% of the withdrawn amount subject to a minimum of Rs. 30 for every withdrawal of Rs. 1,000 (for Canara Bank ATMs) and different for other banks’ ATMs. | Nil",Lifetime free credit card. 2 Reward Points on every spend of Rs. 100. Complimentary air accident insurance cover. 2.5% fuel surcharge waiver on all fuel transactions. A Lower interest rate of 2.5% per month.,[],[],,cardinsider.com,https://cardinsider.com/canara-bank/canara-visa-classic-mastercard-standard-credit-card/
Citi Cash Back Credit Card,Citibank,Citibank,,"[""Citibank"", ""Citibank Credit Cards""]",Rs. 500 + GST,Rs. 500 + GST,N/A,,Cashback,Cashback will be automatically credited to your account in multiples of Rs. 500.,,,"{""domestic"": ""N/A"", ""international"": ""N/A""}",You have to fulfill the below-mentioned eligibility criteria in order to be eligible to apply for this card – The applicant should be of an age between 23 years to 60 years. The applicant should be either salaried or self-employed and have a decent credit score.,3.75% per month,3.5% of transaction amount,"1% fuel surcharge waived off at authorized IndianOil Corporation outlets. | 2.5% of the cash withdrawn, or Rs. 500, higher of the two. | Nil",Get a 0.5% cashback on all your spending. Get a 5% cashback on your telephone bill payments & movie ticket purchases. The cashback of 5% on utility bill payments is applicable through Citibank Online Bill Pay only Automatic adjustment of the cashback earned against the card’s statement balance in multiples of Rs. 500. Up to 20% off on dining bills at the participating restaurants. 1% fuel surcharge will be waived off on fuel transactions at fuel stations in India.,[],[],,cardinsider.com,https://cardinsider.com/citibank/citi-cash-back-credit-card/
Citibank Prestige Credit Card,Citibank,Citibank,,"[""Citibank"", ""Citibank Credit Cards""]","Rs. 20,000 + GST","Rs. 20,000 + GST",N/A,,Reward Points,"1 Reward Point = Re. 1, 1 RP = 4 Airmiles for redemption against airmiles, 1 RP = 1 Taj InnerCircle point and 1 reward point = 4 IHG points.",,,"{""domestic"": ""Unlimited with Priority Pass (for primary and add-on cardholders)"", ""international"": ""Unlimited with Priority Pass (for primary and add-on cardholders)""}","The eligibility criteria that need to be fulfilled in order to get approved for the Citi Prestige Credit Card are as mentioned below: Your age must be 21 years or above. Your annual income must be at least Rs. 25,00,000. You should have a decent credit score.",3.75% per month or 45% annually,3.5% (plus applicable taxes),"1% fuel surcharge waived at authorised Indian Oil outlets. | 2% of the withdrawn amount, subject to a minimum amount of Rs. 300. | Nil","Welcome benefit of 2,500 bonus reward points at the time of joining. An annual benefit worth Rs. 10,000 from Taj group / ITC hotels every year. 1 reward point for every Rs. 100 on domestic spends. 2x reward points on international spends. Reward points redeemable for gift vouchers and gadgets, transferable to frequent flyer points, hotel loyalty programs, and many more categories. Complimentary Taj Epicure and Taj InnerCircle membership. Unlimited airport lounge access around the world with Priority Pass for primary as well as add-on card members. Citi concierge service for day-to-day tasks. Overseas medical insurance cover worth USD 50,000. Lost card protection worth Rs. 10 lakh.",[],[],,cardinsider.com,https://cardinsider.com/citibank/citi-prestige-credit-card/
Citi Rewards Credit Card,Citibank,Citibank,,"[""Citibank"", ""Citibank Credit Cards""]","Rs. 1,000 plus applicable taxes (complimentary for Citibank Suvidha account holders)","Rs. 1,000 plus applicable taxes (complimentary for Citibank Suvidha account holders)","Get the renewal fee waiver on spending Rs. 30,000 or more in the previous year.",,Reward Points,"The Reward Points are redeemable against Air Miles, product catalog, or cash back whenever you want with a rate of 1 RP = up to Re. 0.30.",,"You get 300 bonus Reward Points on a minimum monthly spend of Rs. 30,000 on your Citi Rewards Credit Card.","{""domestic"": ""N/A"", ""international"": ""N/A""}",The following table shows the eligibility criteria to get approved for the Rewards credit card:,3.75% per month (45% per month),3.5% on all foreign currency spends,1% fuel surcharge is waived off at all Indian Oil outlets for a minimum fuel transaction of Rs. 10. | 2.5% of the amount withdrawn or Rs. 500 (whichever is higher) | Nil,"Up to 2,500 Reward Points as a welcome gift. 1 Reward Points per Rs. 125 you spend. 10x Reward Points on apparel & departmental stores. Get 300 bonus Reward Points by spending Rs. 30,000 or more every month. Spend Rs. 30,000 or more in the previous year and the renewal fee for the card can be waived off. 1% fuel surcharge waiver on all fuel transactions.",[],[],,cardinsider.com,https://cardinsider.com/citibank/citi-rewards-credit-card/
