card_name,issuing_bank,issuing_bank_raw,card_network,categories,joining_fee,annual_fee,fee_waiver_condition,reward_rate,reward_structure,redemption_options,welcome_benefits,milestone_benefits,lounge_access,eligibility,interest_rate_apr,forex_markup,other_charges,key_features,pros,cons,rating,source_site,source_url
HDFC Shoppers Stop Black credit card,HDFC Bank,HDFC,,"[""Cashback"", ""Catalogue Products""]",4500,,,0.5% to 1%,"[{""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 7 Reward Points per ₹100 spent"", ""name"": ""Shoppers Stop""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""CALENDAR"", ""benefits"": ""Earn Rs.2000 per month for a min. purchase of Rs.50,000 on Shoppers Stop over the weekend (capped to maximum once in a month and 5 times in a year)"", ""milestoneType"": ""MONTH""}]","[{""maintitle"": ""Domestic lounge"", ""limit"": [""4 per quarter""], ""eligibility"": [""spend ₹75,000 in the previous calendar quarter""]}, {""maintitle"": ""International lounge"", ""limit"": [""2 per quarter""], ""eligibility"": [""No explicit spend condition""]}]",,,,"[{""mainTitle"": ""First Citizen"", ""child"": ""First Citizen Black membership""}, {""mainTitle"": ""Insurance"", ""child"": ""Insurance""}]","[""First Citizen Black membership"", ""Insurance""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-shoppers-stop-black
HDFC Freedom credit card,HDFC Bank,HDFC,,"[""Cashback""]",500,,,0.5% to 1.5%,"[{""child"": ""Earn 1 Reward Points per ₹200 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 10 Reward Points per ₹200 spent"", ""name"": ""Swiggy""}, {""child"": ""Earn 10 Reward Points per ₹200 spent"", ""name"": ""Uber""}, {""child"": ""Earn 10 Reward Points per ₹200 spent"", ""name"": ""Oyo""}, {""child"": ""Earn 10 Reward Points per ₹200 spent"", ""name"": ""BookMyShow""}, {""child"": ""Earn 10 Reward Points per ₹200 spent"", ""name"": ""BigBasket""}, {""child"": ""Earn 1 Reward Points per ₹200 spent"", ""name"": ""Education""}, {""child"": ""Earn 1 Reward Points per ₹200 spent"", ""name"": ""Telecom & Cables""}, {""child"": ""Earn 1 Reward Points per ₹200 spent"", ""name"": ""UPI""}, {""child"": ""Earn 1 Reward Points per ₹200 spent"", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education (Third-Party)""}, {""child"": "" No Reward Points on this category."", ""name"": ""Grocery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Swiggy Dineout"", ""child"": ""Upto 20% Off""}]","[""Upto 20% Off""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-freedom
HDFC Paytm Select credit card,HDFC Bank,HDFC,,"[""Travel Booking""]",1000,,,1% to 3%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Paytm (Movies and Utilities)""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Ajio""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Swiggy""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Uber""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""BigBasket""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Travel""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education (Third-Party)""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""Gift vouchers worth ₹500 (non EMI spend) per calendar quarter."", ""milestoneType"": ""QUARTER""}, {""milestoneNumber"": 2, ""spent"": 150000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Dining"", ""child"": ""20% Discount Via Dineout""}, {""mainTitle"": ""Paytm"", ""child"": ""Paytm first membership""}]","[""20% Discount Via Dineout"", ""Paytm first membership""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-paytm-select
HDFC Indian Oil credit card,HDFC Bank,HDFC,,"[""Brand Wallet"", ""Cashback""]",500,,,1% to 3%,"[{""child"": ""Earn 1 Reward Points per ₹150 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""IOCL""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Utilities""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Fuel (Other than IOCL)""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""UPI""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""IndianOil"", ""child"": ""ndianOil XtraRewards Program (IXRP) membership""}]","[""ndianOil XtraRewards Program (IXRP) membership""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-indian-oil
HDFC Paytm credit card,HDFC Bank,HDFC,,[],500,,,NA,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Paytm (Movies and Utilities)""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Paytm""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Travel""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 5000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Dining"", ""child"": ""20% Discount""}]","[""20% Discount""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-paytm
HDFC Paytm Mobile credit card,HDFC Bank,HDFC,,"[""Cashback""]",348,,,1.5% to 3%,"[{""child"": ""Earn 0.5 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Movies via Paytm""}, {""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Paytm""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,[],[],,,,"[{""mainTitle"": ""Dining"", ""child"": ""20% Discount""}]","[""20% Discount""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-paytm-mobile
HDFC UPI Rupay Credit credit card,HDFC Bank,HDFC,,"[""Cashback""]",99,,,0.25% to 0.5%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Dining""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": ""Earn 3 Reward Points per ₹100 spent"", ""name"": ""Supermarket""}, {""child"": ""Earn 2 Reward Points per ₹100 spent"", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education""}, {""child"": "" No Reward Points on this category."", ""name"": ""Insurance""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Gift Cards""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 25000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/hdfc-upi-rupay-credit
HDFC Solitaire credit card,HDFC Bank,HDFC,,"[""Cashback"", ""Catalogue Products""]",500,,,0.5% to 1%,"[{""child"": ""Earn 3 Reward Points per ₹200 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 4.5 Reward Points per ₹200 spent"", ""name"": ""Fuel""}, {""child"": ""Earn 4.5 Reward Points per ₹200 spent"", ""name"": ""Dining""}, {""child"": ""Earn 4.5 Reward Points per ₹200 spent"", ""name"": ""Grocery""}, {""child"": "" No Reward Points on this category."", ""name"": ""UPI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 50000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/hdfc-solitaire
HDFC Bharat credit card,HDFC Bank,HDFC,,"[""Experience"", ""Travel Booking"", ""Hotel Transfer"", ""Pay by Points""]",500,,,3% to 10%,"[{""child"": ""Earn 1 Reward Points per ₹100 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Fuel""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Bill Payment & Recharges""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""Grocery""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""IRCTC""}, {""child"": ""Earn 5 Reward Points per ₹100 spent"", ""name"": ""PayZapp/EasyEMI/SmartBUY/SmartPay""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Utilities""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 20000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}]",[],,,,[],[],,,,savesage.club,https://savesage.club/credit-card/hdfc-bharat
HDFC Regalia First credit card,HDFC Bank,HDFC,,[],1000,,,NA,"[{""child"": ""Earn 3 Reward Points per ₹200 spent"", ""name"": ""Base Rewards""}, {""child"": ""Earn 30 Reward Points per ₹200 spent"", ""name"": ""Hotels""}, {""child"": ""Earn 15 Reward Points per ₹200 spent"", ""name"": ""RedBus via SmartBuy""}, {""child"": ""Earn 15 Reward Points per ₹200 spent"", ""name"": ""Flights via SmartBuy""}, {""child"": ""Earn 15 Reward Points per ₹200 spent"", ""name"": ""Gift Cards via SmartBuy""}, {""child"": ""Earn 15 Reward Points per ₹200 spent"", ""name"": ""Holidays via SmartBuy""}, {""child"": ""Earn 9 Reward Points per ₹200 spent"", ""name"": ""Trains via SmartBuy""}, {""child"": ""Earn 3 Reward Points per ₹200 spent"", ""name"": ""Education""}, {""child"": ""Earn 3 Reward Points per ₹200 spent"", ""name"": ""Utilities""}, {""child"": ""Earn 3 Reward Points per ₹200 spent"", ""name"": ""Insurance""}, {""child"": "" No Reward Points on this category."", ""name"": ""EMI""}, {""child"": "" No Reward Points on this category."", ""name"": ""Wallets""}, {""child"": "" No Reward Points on this category."", ""name"": ""Rent""}, {""child"": "" No Reward Points on this category."", ""name"": ""Government""}, {""child"": "" No Reward Points on this category."", ""name"": ""Jewellery""}, {""child"": "" No Reward Points on this category."", ""name"": ""Fuel""}, {""child"": "" No Reward Points on this category."", ""name"": ""Education (Third-Party)""}]","[{""title"": "" Discover Reward Points Redemption Options"", ""subtitle"": ""To explore the full range of redemption options for this card, download the SaveSage Club app now."", ""barCodeImageUrl"": ""/"", ""appUrl"": ""https://savesage.co/ZH8bLjZqSPb""}]",,"[{""milestoneNumber"": 1, ""spent"": 100000, ""cycleType"": ""STATEMENT"", ""benefits"": ""The renewal fee will be waived."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 2, ""spent"": 300000, ""cycleType"": ""STATEMENT"", ""benefits"": ""5,000 RPs."", ""milestoneType"": ""YEAR""}, {""milestoneNumber"": 3, ""spent"": 600000, ""cycleType"": ""STATEMENT"", ""benefits"": ""2,500 RPs."", ""milestoneType"": ""YEAR""}]",[],,,,"[{""mainTitle"": ""Good Food Trail"", ""child"": ""Good Food Trail Dining Program""}]","[""Good Food Trail Dining Program""]",,,,savesage.club,https://savesage.club/credit-card/hdfc-regalia-first
